"Universidad","Tipo de Gestión","Región","Grupo","Estado"
"UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C. ","PRIVADA","LIMA ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL ","PRIVADA","LIMA ","GRUPO 2","LICENCIA DENEGADA"
"UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C. ","PRIVADA","AMAZONAS ","GRUPO 7","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C. ","PRIVADA","LORETO ","GRUPO 5","LICENCIA DENEGADA"
"ESCUELA INTERNACIONAL DE POSGRADO - ESIP ","PRIVADA","LIMA ","GRUPO 9","LICENCIA DENEGADA"
"ESCUELA DE POSTGRADO ""SAN FRANCISCO XAVIER ESCUELA DE NEGOCIOS S.A.C"" ","PRIVADA","AREQUIPA ","GRUPO 9","LICENCIA DENEGADA"
"UNIVERSIDAD SEMINARIO BÍBLICO ANDINO ","PRIVADA","LIMA ","GRUPO 9","LICENCIA DENEGADA"
"UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA ","PRIVADA","LIMA ","GRUPO 9","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA SISE S.A.C. ","PRIVADA","LIMA ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C. ","PRIVADA","JUNÍN ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD GLOBAL DEL CUSCO SOCIEDAD ANÓNIMA CERRADA ","PRIVADA","CUSCO ","GRUPO 4","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C. ","PRIVADA","CUSCO ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C. ","PRIVADA","CALLAO ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD SANTO DOMINGO DE GUZMÁN ","PRIVADA","LIMA ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD NACIONAL CIRO ALEGRÍA ","PÚBLICA","LA LIBERTAD ","GRUPO 9","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C. ","PRIVADA","AREQUIPA ","GRUPO 7","LICENCIA DENEGADA"
"UNIVERSIDAD LATINOAMERICANA CIMA SOCIEDAD ANÓNIMA CERRADA ","PRIVADA","TACNA ","GRUPO 6","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C. ","PRIVADA","LA LIBERTAD ","GRUPO 6","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C. ","PRIVADA","LIMA ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C. ","PRIVADA","LIMA ","GRUPO 6","LICENCIA DENEGADA"
"UNIVERSIDAD SAN ANDRÉS S.A.C. ","PRIVADA","LIMA ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C. ","PRIVADA","AREQUIPA ","GRUPO 6","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C. ","PRIVADA","CUSCO ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C. ","PRIVADA","AYACUCHO ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C. ","PRIVADA","AREQUIPA ","GRUPO 4","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C. ","PRIVADA","LIMA ","GRUPO 4","LICENCIA DENEGADA"
"UNIVERSIDAD DE LAMBAYEQUE S.A.C. ","PRIVADA","LAMBAYEQUE ","GRUPO 4","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C ","PRIVADA","LIMA ","GRUPO 3","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA DEL CENTRO ","PRIVADA","JUNÍN ","GRUPO 3","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA JUAN MEJÍA BACA SOCIEDAD ANÓNIMA CERRADA ","PRIVADA","LAMBAYEQUE ","GRUPO 3","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA DEL ORIENTE S.A.C. ","PRIVADA","LORETO ","GRUPO 2","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C. ","PRIVADA","LIMA ","GRUPO 3","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C. ","PRIVADA","LIMA ","GRUPO 2","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA SAN CARLOS SOCIEDAD ANÓNIMA CERRADA ","PRIVADA","PUNO ","GRUPO 2","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA DE TRUJILLO ","PRIVADA","LA LIBERTAD ","GRUPO 7","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C. ","PRIVADA","UCAYALI ","GRUPO 1","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA SERGIO BERNALES S.A. ","PRIVADA","LIMA ","GRUPO 1","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA TELESUP S.A.C. ","PRIVADA","LIMA ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI ","PRIVADA","MOQUEGUA ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA ","PRIVADA","LIMA ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD PERUANA DE LAS AMÉRICAS SAC ","PRIVADA","LIMA ","GRUPO 8","LICENCIA DENEGADA"
"UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO ","PRIVADA","CAJAMARCA ","GRUPO 7","LICENCIA DENEGADA"
"GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C. ","PRIVADA","ICA ","GRUPO 1","LICENCIA DENEGADA"
"UNIVERSIDAD ALAS PERUANAS S.A. ","PRIVADA","LIMA ","GRUPO 6","LICENCIA DENEGADA"
"UNIVERSIDAD CIENTÍFICA DEL PERÚ ","PRIVADA","LORETO ","GRUPO 5","LICENCIA DENEGADA"
"UNIVERSIDAD SAN PEDRO ","PRIVADA","ANCASH ","GRUPO 4","LICENCIA DENEGADA"
"UNIVERSIDAD PARTICULAR DE CHICLAYO ","PRIVADA","LAMBAYEQUE ","GRUPO 4","LICENCIA DENEGADA"
"UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ ","PRIVADA","PUNO ","GRUPO 3","LICENCIA DENEGADA"
"UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO ","PÚBLICA","LAMBAYEQUE ","GRUPO 6","LICENCIA DENEGADA"
"UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA ","PÚBLICA","ICA ","GRUPO 2","LICENCIA DENEGADA"
"UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA ","PÚBLICA","AREQUIPA ","GRUPO 2","LICENCIADA"
"UNIVERSIDAD DE SAN MARTÍN DE PORRES ","PRIVADA","LIMA ","GRUPO 2","LICENCIADA"
"FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA ","PRIVADA","LIMA ","GRUPO 9","LICENCIADA"
"UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C. ","PRIVADA","LIMA ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD CÉSAR VALLEJO S.A.C. ","PRIVADA","LA LIBERTAD ","GRUPO 5","LICENCIADA"
"UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO ","PÚBLICA","ANCASH ","GRUPO 6","LICENCIADA"
"UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR ","PÚBLICA","LIMA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE ","PRIVADA","LIMA ","GRUPO 4","LICENCIADA"
"ESCUELA DE POSTGRADO NEUMANN BUSINESS SCHOOL S.A.C. ","PRIVADA","TACNA ","GRUPO 9","LICENCIADA"
"ESCUELA DE POSTGRADO GERENS S.A. ","PRIVADA","LIMA ","GRUPO 9","LICENCIADA"
"UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C. ","PRIVADA","LIMA ","GRUPO 7","LICENCIADA"
"UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO ","PÚBLICA","HUANCAVELICA ","GRUPO 9","LICENCIADA"
"UNIVERSIDAD MARÍA AUXILIADORA S.A.C. ","PRIVADA","LIMA ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD LA SALLE ","PRIVADA","AREQUIPA ","GRUPO 6","LICENCIADA"
"UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA ","PRIVADA","LIMA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA ","PÚBLICA","AYACUCHO ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA ","PÚBLICA","JUNÍN ","GRUPO 8","LICENCIADA"
"UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS ","PÚBLICA","LORETO ","GRUPO 5","LICENCIADA"
"UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA ","PÚBLICA","CUSCO ","GRUPO 8","LICENCIADA"
"UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA ","PÚBLICA","JUNÍN ","GRUPO 5","LICENCIADA"
"UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA ","PÚBLICA","AMAZONAS ","GRUPO 6","LICENCIADA"
"UNIVERSIDAD NACIONAL DE CAÑETE ","PÚBLICA","LIMA ","GRUPO 6","LICENCIADA"
"UNIVERSIDAD NACIONAL DE BARRANCA ","PÚBLICA","LIMA ","GRUPO 7","LICENCIADA"
"UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA ","PÚBLICA","CAJAMARCA ","GRUPO 7","LICENCIADA"
"UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C. ","PRIVADA","LIMA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD NACIONAL DE FRONTERA ","PÚBLICA","PIURA ","GRUPO 8","LICENCIADA"
"UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT SOCIEDAD ANÓNIMA CERRADA ","PRIVADA","JUNÍN ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD LE CORDON BLEU S.A.C. ","PRIVADA","LIMA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD NACIONAL DE JAÉN ","PÚBLICA","CAJAMARCA ","GRUPO 5","LICENCIADA"
"UNIVERSIDAD JAIME BAUSATE Y MEZA ","PRIVADA","LIMA ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD NACIONAL DE JULIACA ","PÚBLICA","PUNO ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD DE CIENCIAS Y HUMANIDADES ","PRIVADA","LIMA ","GRUPO 2","LICENCIADA"
"UNIVERSIDAD NACIONAL DE MOQUEGUA ","PÚBLICA","MOQUEGUA ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS ","PÚBLICA","APURÍMAC ","GRUPO 2","LICENCIADA"
"UNIVERSIDAD AUTÓNOMA DE ICA S.A.C. ","PRIVADA","ICA ","GRUPO 2","LICENCIADA"
"UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA ","PÚBLICA","UCAYALI ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD PARA EL DESARROLLO ANDINO ","PRIVADA","HUANCAVELICA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD ANTONIO RUÍZ DE MONTOYA ","PRIVADA","LIMA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD ESAN ","PRIVADA","LIMA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC ","PÚBLICA","APURÍMAC ","GRUPO 8","LICENCIADA"
"UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS ","PÚBLICA","AMAZONAS ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS ","PÚBLICA","MADRE DE DIOS ","GRUPO 8","LICENCIADA"
"ASOCIACIÓN CIVIL UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI ","PRIVADA","LA LIBERTAD ","GRUPO 8","LICENCIADA"
"UNIVERSIDAD SEÑOR DE SIPÁN ","PRIVADA","LAMBAYEQUE ","GRUPO 6","LICENCIADA"
"UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO ","PRIVADA","LAMBAYEQUE ","GRUPO 5","LICENCIADA"
"UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C. ","PRIVADA","LIMA ","GRUPO 7","LICENCIADA"
"UNIVERSIDAD CONTINENTAL S.A.C. ","PRIVADA","JUNÍN ","GRUPO 7","LICENCIADA"
"UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C. ","PRIVADA","LIMA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA SOCIEDAD ANÓNIMA CERRADA ","PRIVADA","LIMA ","GRUPO 6","LICENCIADA"
"UNIVERSIDAD CATÓLICA SAN PABLO ","PRIVADA","AREQUIPA ","GRUPO 6","LICENCIADA"
"UNIVERSIDAD PRIVADA NORBERT WIENER S.A. ","PRIVADA","LIMA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A. ","PRIVADA","LIMA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD PRIVADA DEL NORTE S.A.C. ","PRIVADA","LA LIBERTAD ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C. ","PRIVADA","LIMA ","GRUPO 5","LICENCIADA"
"UNIVERSIDAD NACIONAL DE HUANCAVELICA ","PÚBLICA","HUANCAVELICA ","GRUPO 8","LICENCIADA"
"UNIVERSIDAD MARCELINO CHAMPAGNAT ","PRIVADA","LIMA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD DE HUÁNUCO ","PRIVADA","HUÁNUCO ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD PRIVADA ANTENOR ORREGO ","PRIVADA","LA LIBERTAD ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD PRIVADA DE TACNA ","PRIVADA","TACNA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD NACIONAL DEL SANTA ","PÚBLICA","ANCASH ","GRUPO 7","LICENCIADA"
"UNIVERSIDAD NACIONAL DE TUMBES ","PÚBLICA","TUMBES ","GRUPO 7","LICENCIADA"
"UNIVERSIDAD TECNOLÓGICA DE LOS ANDES ","PRIVADA","APURÍMAC ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD PERUANA UNIÓN ","PRIVADA","LIMA ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD PERUANA LOS ANDES ","PRIVADA","JUNÍN ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD ANDINA DEL CUSCO ","PRIVADA","CUSCO ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD NACIONAL DE UCAYALI ","PÚBLICA","UCAYALI ","GRUPO 7","LICENCIADA"
"UNIVERSIDAD NACIONAL DE SAN MARTÍN ","PÚBLICA","SAN MARTÍN ","GRUPO 7","LICENCIADA"
"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN ","PÚBLICA","TACNA ","GRUPO 6","LICENCIADA"
"UNIVERSIDAD RICARDO PALMA ","PRIVADA","LIMA ","GRUPO 2","LICENCIADA"
"UNIVERSIDAD DE PIURA ","PRIVADA","PIURA ","GRUPO 2","LICENCIADA"
"UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN ","PÚBLICA","LIMA ","GRUPO 6","LICENCIADA"
"UNIVERSIDAD NACIONAL DEL CALLAO ","PÚBLICA","CALLAO ","GRUPO 5","LICENCIADA"
"UNIVERSIDAD NACIONAL DANIEL ALCÍDES CARRIÓN ","PÚBLICA","PASCO ","GRUPO 5","LICENCIADA"
"UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE ","PÚBLICA","LIMA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO ","PÚBLICA","HUÁNUCO ","GRUPO 5","LICENCIADA"
"UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA ","PÚBLICA","HUÁNUCO ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD NACIONAL FEDERICO VILLARREAL ","PÚBLICA","LIMA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN ","PRIVADA","LIMA ","GRUPO 2","LICENCIADA"
"UNIVERSIDAD DE LIMA ","PRIVADA","LIMA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD DEL PACÍFICO ","PRIVADA","LIMA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD NACIONAL DE CAJAMARCA ","PÚBLICA","CAJAMARCA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD CATÓLICA DE SANTA MARÍA ","PRIVADA","AREQUIPA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD PERUANA CAYETANO HEREDIA ","PRIVADA","LIMA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD NACIONAL DE PIURA ","PÚBLICA","PIURA ","GRUPO 4","LICENCIADA"
"UNIVERSIDAD NACIONAL DEL ALTIPLANO ","PÚBLICA","PUNO ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA ","PÚBLICA","LORETO ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ ","PÚBLICA","JUNÍN ","GRUPO 3","LICENCIADA"
"PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ ","PRIVADA","LIMA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA ","PÚBLICA","LIMA ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD NACIONAL DE INGENIERÍA ","PÚBLICA","LIMA ","GRUPO 2","LICENCIADA"
"UNIVERSIDAD NACIONAL DE TRUJILLO ","PÚBLICA","LA LIBERTAD ","GRUPO 2","LICENCIADA"
"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO ","PÚBLICA","CUSCO ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA ","PÚBLICA","AYACUCHO ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ","PÚBLICA","LIMA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE ","PRIVADA","ANCASH ","GRUPO 4","PROCEDIMIENTO CONCLUIDO POR ABSORCIÓN"
